node,phase,hub,authority
n1,1,0.703062,0.011810
n3,1,0.014360,0.135714
n1,2,0.972955,0.000269
n3,2,0.007636,0.336704
n1,3,0.793100,0.003153
n3,3,0.046251,0.149565
n1,4,0.859794,0.002161
n3,4,0.023968,0.275466
n1,5,0.906498,0.000581
n3,5,0.010536,0.323586
n1,6,0.008049,0.805419
n3,6,0.195290,0.032090
n1,7,0.006807,0.727422
n3,7,0.343322,0.006894
n1,8,0.825878,0.002038
n3,8,0.017380,0.467171
n1,9,0.587934,0.016157
n3,9,0.139465,0.067494
n1,10,-0.000000,-0.000000
n3,10,-0.000000,-0.000000
n1,11,0.000079,0.000001
n3,11,0.037892,-0.000000
